order_date,order_id,product_name,quantity,product_sales_total
8/1/2019 8:56,10025,NorLevo Emergency Contraceptive Pill - 1 Tablet,1,6000
8/1/2019 9:01,10026,Innotex longlasting,5,500
8/1/2019 9:01,10027,NorLevo Emergency Contraceptive Pill - 1 Tablet,1,600
8/1/2019 9:01,10028,Lifebuoy Germ Protection Antibacterial Total 10 Hand Body Soap Bar Pack of 2 x 75gr + 1 Free,36,7200
8/1/2019 9:01,10029,Geisha Bath Soap Soothing Aloe Vera 225g,1,700
8/1/2019 9:06,10030,Best Ladies Maxi 10Pads,5,3000
8/1/2019 9:11,10031,Best Ladies Maxi 10Pads,5,3000
8/1/2019 9:11,10032,"Polygynax Vaginal Capsules, Pack of 12",5,30000
8/1/2019 9:11,10033,Moods UltraThin Condoms Pack of 3,80,80000
8/1/2019 9:11,10034,Moods UltraThin Condoms Pack of 3,80,80000
8/1/2019 9:11,10035,Moods UltraThin Condoms Pack of 3,80,80000
8/1/2019 9:16,10036,Tembo Soap (2 pieces)*224g,10,3000
8/1/2019 9:16,10037,Moods UltraThin Condoms Pack of 3,80,80000
8/1/2019 9:21,10038,Geisha Cocoa Butter Body Lotion 400ml,1,1400
8/1/2019 9:31,10039,Supa Toilet Paper-10,1,2000
7/10/2019 18:45,10040,Supa Sanitary Pads 10Pieces,10,8000
8/1/2019 9:40,10041,Supa Toilet Paper-10,1,2000
8/1/2019 9:40,10042,Tembo Soap (2 pieces)*224g,36,10800
8/1/2019 9:41,10043,Supa Sanitary Pads 10Pieces,1,800
8/1/2019 9:46,10044,Supa Toilet Paper-10,1,2000
8/1/2019 9:46,10045,Supa Toilet Paper-10,1,2000
8/1/2019 9:50,10046,Always Maxi Thick Extra Long 7 Pads,1,1000
8/1/2019 10:01,10047,Astral Original Face&Body Moisturizer 200ml,1,6000
8/1/2019 10:01,10048,Amara For Men,1,1600
8/1/2019 10:01,10049,Amara Natural Glow Scented Glycerine 100ml,1,700
8/1/2019 10:01,10050,Oraquick HIV Self Test,2,0
8/1/2019 10:01,10051,Prudence Condoms Pack of 4,1,500
8/1/2019 10:01,10052,Best Ladies Maxi 10Pads,5,3000
8/1/2019 10:01,10053,Tembo Soap (2 pieces)*224g,6,1800
8/1/2019 10:06,10054,Prudence Condoms Pack of 4,2,1000
8/1/2019 10:06,10055,Supa Sanitary Pads 10Pieces,10,8000
8/1/2019 10:20,10056,Innotex longlasting,10,10000
8/1/2019 10:26,10057,Durex Feel Thin 3Condoms,2,7000
8/1/2019 10:26,10058,Supa Sanitary Pads 10Pieces,1,800
8/1/2019 10:41,10059,Prudence Condoms Pack of 4,5,250
8/1/2019 10:41,10060,Oraquick HIV Self Test,2,0
8/1/2019 10:46,10061,Vaseline Blueseal Gentle Protective Baby Jelly 250g,1,1450
8/1/2019 10:46,10062,Nivea Men Deodorant 50Ml,1,2500
8/1/2019 10:50,10063,Lifebuoy Germ Protection Antibacterial Total 10 Hand Body Soap Bar Pack of 2 x 75gr + 1 Free,6,1200
8/1/2019 10:50,10064,Lifebuoy Germ Protection Antibacterial Total 10 Hand Body Soap Bar Pack of 2 x 75gr + 1 Free,6,1200
8/1/2019 10:56,10065,Sante Bathing Bar Soap Pack of 3 x 75gr,6,1200
8/1/2019 10:56,10066,Supa Toilet Paper-10,1,2000
8/1/2019 10:56,10067,Amara Natural Glow Scented Glycerine 100ml,1,700
8/1/2019 11:01,10068,Amara Body Milk Lotion 400ml,1,1600
8/1/2019 11:01,10069,Amara Body Milk Lotion 400ml,1,1600
8/1/2019 11:11,10070,Geisha Bath Soap Soothing Aloe Vera 225g,2,1400
8/1/2019 11:16,10071,Geisha Bath Soap Soothing Aloe Vera 225g,1,700
8/1/2019 11:16,10072,Geisha BathSoap Invigorating Lemon 225g,1,700
8/1/2019 11:21,10073,Supa Sanitary Pads 10Pieces,1,800
8/1/2019 11:26,10074,Geisha BathSoap Invigorating Lemon 225g,1,700
8/1/2019 11:26,10075,Best Ladies Maxi 10Pads,1,600
8/1/2019 11:36,10076,Supa Sanitary Pads 10Pieces,1,800
8/1/2019 9:47,10077,Best Ladies Maxi 10Pads,1,0
8/1/2019 12:11,10078,Amara For Men,1,1600
8/1/2019 12:11,10079,Amara Natural Glow Scented Glycerine 100ml,1,700
8/1/2019 12:16,10080,NorLevo Emergency Contraceptive Pill - 1 Tablet,1,600
8/1/2019 12:16,10081,Oraquick HIV Self Test,2,0
8/1/2019 12:16,10082,Lifebuoy Germ Protection Antibacterial Total 10 Hand Body Soap Bar Pack of 2 x 75gr + 1 Free,3,600
8/1/2019 12:21,10083,Best Ladies Maxi 10Pads,1,600
8/1/2019 12:21,10084,Amara For Men,1,1600
8/1/2019 12:26,10085,Supa Sanitary Pads 10Pieces,1,800
8/1/2019 12:31,10086,Always Maxi Thick Extra Long 7 Pads,1,1000
8/1/2019 12:31,10087,Geisha Cocoa Butter Body Lotion 400ml,1,1400
8/1/2019 12:36,10088,Rapid Labs Pregnancy Test,1,600
8/1/2019 12:36,10089,Rapid Labs Pregnancy Test,1,600
8/1/2019 10:37,10090,Innotex longlasting,2,200
8/1/2019 10:37,10091,Moods UltraThin Condoms Pack of 3,2,200
8/1/2019 10:37,10092,Fiesta Strawberry Condoms 1 Pack (3 Pieces),1,100
8/1/2019 10:37,10093,Rapid Labs Pregnancy Test,3,180
8/1/2019 10:37,10094,NorLevo Emergency Contraceptive Pill - 1 Tablet,1,600
8/1/2019 10:37,10095,Oraquick HIV Self Test,1,0
8/1/2019 12:41,10096,Rapid Labs Pregnancy Test,1,600
8/1/2019 12:46,10097,Supa Sanitary Pads 10Pieces,10,8000
8/1/2019 12:46,10098,Amara For Men,1,1600
8/1/2019 12:56,10099,Supa Sanitary Pads 10Pieces,1,800
8/1/2019 12:56,10100,Supa Sanitary Pads 10Pieces,1,800
